2025-12-28 12:47:17 PM | INFO     | DB_Setup        | Starting Enterprise Database Setup...
2025-12-28 12:47:17 PM | INFO     | Database        | Initializing database schema...
2025-12-28 12:47:17 PM | INFO     | Database        | Database schema initialized successfully.
2025-12-28 12:47:17 PM | INFO     | DB_Setup        | Verifying pgvector extension...
2025-12-28 12:47:17 PM | INFO     | DB_Setup        | Extension 'pgvector' is ACTIVE.
2025-12-28 12:47:17 PM | INFO     | DB_Setup        | Database Setup Successfully Completed!
2025-12-28 12:48:36 PM | INFO     | Audio_VAD       | Loading Silero VAD Neural Network...
2025-12-28 12:48:37 PM | INFO     | Audio_VAD       | Silero VAD Loaded Successfully.
2025-12-28 12:48:39 PM | INFO     | AI_Speaker_Engine | Initializing SpeechBrain Encoder (ECAPA-TDNN)...
2025-12-28 12:48:41 PM | INFO     | AI_Speaker_Engine | Speaker Engine loaded on: GPU (CUDA)
2025-12-28 12:49:00 PM | INFO     | Enrollment_UI   | Starting enrollment recording for Affan
2025-12-28 12:49:01 PM | INFO     | Audio_Capture   | Capture started at 2025-12-28 12:49:01 PM
2025-12-28 12:49:01 PM | INFO     | Audio_Capture   | Recording... target: D:\Affan\Blackbox AI\data\temp\enroll_961492.wav
2025-12-28 12:49:06 PM | DEBUG    | Audio_Normalization | Normalization: Applying a gain of 1.50x to signal.
2025-12-28 12:49:06 PM | INFO     | Audio_VAD       | AI Analysis: 2.81s of human speech detected.
2025-12-28 12:49:06 PM | WARNING  | Enrollment_UI   | Enrollment rejected: Need more speech (AI detected: 2.8s). Please continue reading.
2025-12-28 12:53:33 PM | INFO     | Audio_VAD       | Loading Silero VAD Neural Network...
2025-12-28 12:53:33 PM | INFO     | Audio_VAD       | Silero VAD Loaded Successfully.
2025-12-28 12:53:33 PM | INFO     | AI_Speaker_Engine | Initializing SpeechBrain Encoder (ECAPA-TDNN)...
2025-12-28 12:53:35 PM | INFO     | AI_Speaker_Engine | Speaker Engine loaded on: GPU (CUDA)
2025-12-28 12:53:35 PM | INFO     | Enrollment_UI   | Starting enrollment recording for Affan
2025-12-28 12:53:35 PM | INFO     | Audio_Capture   | Capture started at 2025-12-28 12:53:35 PM
2025-12-28 12:53:35 PM | INFO     | Audio_Capture   | Recording... target: D:\Affan\Blackbox AI\data\temp\enroll_961492.wav
2025-12-28 12:54:20 PM | DEBUG    | Audio_Normalization | Normalization: Applying a gain of 0.92x to signal.
2025-12-28 12:54:21 PM | INFO     | Audio_VAD       | AI Analysis: 37.58s of human speech detected.
2025-12-28 12:54:21 PM | DEBUG    | AI_Speaker_Engine | Extracting embedding for: D:\Affan\Blackbox AI\data\temp\enroll_961492.wav
2025-12-28 12:54:21 PM | ERROR    | AI_Speaker_Engine | Failed to extract voice fingerprint: Error opening 'D:Affan\\Blackbox AI\\data\\temp\\enroll_961492.wav': System error.
2025-12-28 12:54:21 PM | ERROR    | Enrollment_UI   | UI Error: Error opening 'D:Affan\\Blackbox AI\\data\\temp\\enroll_961492.wav': System error.
2025-12-29 06:02:01 AM | INFO     | Audio_VAD       | Loading Silero VAD Neural Network...
2025-12-29 06:02:02 AM | INFO     | Audio_VAD       | Silero VAD Loaded Successfully.
2025-12-29 06:02:04 AM | INFO     | AI_Speaker_Engine | Initializing SpeechBrain Encoder (ECAPA-TDNN)...
2025-12-29 06:02:06 AM | INFO     | AI_Speaker_Engine | Speaker Engine loaded on: GPU (CUDA)
2025-12-29 06:03:36 AM | INFO     | Enrollment_UI   | Starting enrollment recording for Affan
2025-12-29 06:03:36 AM | INFO     | Audio_Capture   | Capture started at 2025-12-29 06:03:36 AM
2025-12-29 06:03:36 AM | INFO     | Audio_Capture   | Recording... target: D:\Affan\Blackbox AI\data\temp\enroll_140072.wav
2025-12-29 06:04:22 AM | DEBUG    | Audio_Normalization | Normalization: Applying a gain of 3.03x to signal.
2025-12-29 06:04:23 AM | INFO     | Audio_VAD       | AI Analysis: 36.74s of human speech detected.
2025-12-29 06:04:23 AM | DEBUG    | AI_Speaker_Engine | Extracting embedding for: D:\Affan\Blackbox AI\data\temp\enroll_140072.wav
2025-12-29 06:04:23 AM | ERROR    | AI_Speaker_Engine | Failed to extract voice fingerprint: Error opening 'D:Affan\\Blackbox AI\\data\\temp\\enroll_140072.wav': System error.
2025-12-29 06:04:23 AM | ERROR    | Enrollment_UI   | UI Error: Error opening 'D:Affan\\Blackbox AI\\data\\temp\\enroll_140072.wav': System error.
2025-12-29 06:12:01 AM | INFO     | Audio_VAD       | Loading Silero VAD Neural Network...
2025-12-29 06:12:03 AM | INFO     | Audio_VAD       | Silero VAD Loaded Successfully.
2025-12-29 06:12:04 AM | INFO     | AI_Speaker_Engine | Initializing SpeechBrain Encoder (ECAPA-TDNN)...
2025-12-29 06:12:06 AM | INFO     | AI_Speaker_Engine | Speaker Engine loaded on: GPU (CUDA)
2025-12-29 06:12:19 AM | INFO     | Enrollment_UI   | Starting enrollment recording for Affan
2025-12-29 06:12:19 AM | INFO     | Audio_Capture   | Capture started at 2025-12-29 06:12:19 AM
2025-12-29 06:12:19 AM | INFO     | Audio_Capture   | Recording... target: D:\Affan\Blackbox AI\data\temp\enroll_1400725.wav
2025-12-29 06:13:04 AM | DEBUG    | Audio_Normalization | Normalization: Applying a gain of 2.35x to signal.
2025-12-29 06:13:05 AM | INFO     | Audio_VAD       | AI Analysis: 36.02s of human speech detected.
